original_word***,view_word***
disegnati,disegnato
biografici,biografico
integrati,integrato
giallastri,giallastro
vivacissimi,vivacissimo
tecnologici,tecnologico
bei,bello
inedite,inedito
montuosi,montuoso
medicinali,medicinale
nuziali,nuziale
persistenti,persistente
serrate,serrata
contrattuali,contrattuale
armate,armata
reciproche,reciproca
percorribili,percorribile
contraenti,contraente
righe,riga
sopraelevate,sopraelevata
arabi,arabo
fiduciosi,fiducioso
rings,ring
aristofanee,aristofanea
aderenti,aderente
svincoli,svincolo
dismesse,dismessa
psicologici,psicologico
eterni,eterno
marini,marino
attenti,attento
giapponesi,giapponese
divertimenti,divertimento
coniche,conica
strumentali,strumentale
barbariche,barbarica
affascinanti,affascinante
identificative,identificativa
secchi,secco
specificate,specificata
oleose,oleosa
impenetrabili,impenetrabile
impazziti,impazzito
testate,testata
ruote,ruota
sintetici,sintetico
siderurgici,siderurgico
attirate,attirata
preistorici,preistorico
decedute,deceduta
grossi,grosso
compagnie,compagnia
riepilogative,riepilogativa
conferenti,conferente
acquatiche,acquatica
cancerose,cancerosa
ridotte,ridotta
peccaminose,peccaminosa
imperfette,imperfetta
ortodosse,ortodossa
sintetiche,sintetica
leccate,leccata
tumorali,tumorale
cani,cane
canini,canino
primissime,primissima
socioeconomiche,socioeconomica
dignitosi,dignitoso
vegani,vegano
nobili,nobile
credenziali,credenziale
nitide,nitida
noleggiati,noleggiato
romantici,romantico
predette,predetta
ristrutturati,ristrutturato
conformi,conforme
tali,tale
regolabili,regolabile
ritrovali,ritrovato
cooperanti,cooperante
volatili,volatile
amerindi,amerindo
cristalline,cristallina
euristici,euristico
imprenditoriali,imprenditoriale
balcaniche,balcanica
clubs,club
allenati,allenato
colombaniani,colombaniano
riconducibili,riconducibile
popolose,popolosa
igieniche,igienica
registrate,registrata
portatili,portatile
squali,squalo
ittiche,ittica
irrilevanti,irrilevante
pelagici,pelagico
nutritive,nutritiva
giocosi,giocoso
protette,protetta
fumati,fumato
germinati,germinato
europee,europea
impalpabili,impalpabile
televisive,televisiva
estreme,estrema
sopraindicati,sopraindicato
collettivi,collettivo
pasti,pasto
qualitativi,qualitativo
atti,atto
edilizie,edilizia
archiviati,archiviato
nobiliari,nobiliare
murate,murata
shakespeariani,shakespeariano
ecologici,ecologico
applicativi,applicativo
collegamenti,collegamento
parti,parte
prebellici,prebellico
vitali,vitale
scolastici,scolastico
arredati,arredato
elegantissime,elegante
evolute,evoluta
battenti,battente
circolari,circolare
olii,olio
devastanti,devastante
costituzionali,costituzionale
giuridiche,giuridica
umili,umile
originari,originario
curativi,curativo
ozonizzati,ozonizzato
suggerimenti,suggerimento
audaci,audace
distinte,distinta
evangelici,evangelico
fritte,fritta
sindacali,sindacale
ulteriori,ulteriore
stilistiche,stilistica
ulteriori,ulteriore
facciali,facciale
linguistiche,linguistica
amministrative,amministrativa
telefonici,telefonico
pazze,pazza
aerei,aereo
idonei,idoneo
immuni,immune
genetici,genetico
opportune,opportuna
bovine,bovina
nati,nato
validi,valido
difficili,difficile
coerenti,coerente
associabili,associabile
corna,corno
neurofisiologici,neurofisiologico
esigenti,esigente
legislative,legislativa
condivisi,condiviso
decisivi,decisivo
costose,costosa
favorevoli,favorevole
istituzionali,istituzionale
vigneti,vigneto
esteri,estero
chirurgiche,chirurgica
intense,intensa
gengive,gengiva
notturne,notturna
sopportabili,sopportabile
ripugnanti,ripugnante
richieste,richiesta
cronologici,cronologico
processi,processo
bufale,bufala
analogici,analogico
occasionali,occasionale
riproduttivi,riproduttivo
straordinarie,straordinaria
studios,studio
comparativi,comparativo
poveri,povero
manageriali,manageriale
ignei,igneo
leggeri,leggero
secondarie,secondaria
medici,medico
therapiste,terapista
affettivi,affettivo
reciproci,reciproco
liturgici,liturgico
vinti,vinto
noti,noto
atmosferiche,atmosferica
milanesi,milanese
neri,nero
bianchi,bianco
sviluppati,sviluppato
illeciti,illecito
contrari,contrario
principali,principale
strutturati,strutturato
canoniche,canonica
potenziali,potenziale
bassi,basso
inosservati,inosservato
adulte,adulta
premiati,premiato
malati,malato
multimediali,multimediale
tattici,tattico
idrici,idrico
nostalgici,nostalgico
asciutti,asciutto
amici,amico
notturni,notturno
urbani,urbano
sodomiti,sodomita
cartellinate,cartellinata
impachettate,impachettata
odierni,odierno
modificati,modificato
museali,museale
neutri,neutro
verdi,verde
vermifughe,vermifuga
famose,famosa
brasiliane,brasiliana
concettuali,concettuale
virali,virale
animate,animata
statistiche,statistica
limitate,limitata
vaticane,vaticana
scultorei,scultoreo
retinici,retinico
radiali,radiale
orientabili,orientabile
gravosi,gravoso
altre,altra
incidentali,incidentale
consequenziali,consequenziale
pubblicitarie,pubblicitaria
brutte,brutta
insostenibili,insostenibile
ambientali,ambientale
territoriali,territoriale
cassaforti,cassaforte
disponibili,disponibile
ufficiali,ufficiale
operativi,operativo
frequenti,frequente
orarie,oraria
significativi,significativo
elettrostatiche,elettrostatica
esausti,esausto
politici,politico
singolari,singolare
inclusi,incluso
magnifici,magnifico
affini,affine
vicini,vicino
comode,comoda
buone,buona
gratuiti,gratuito
civili,civile
cerimoniali,cerimoniale
capitali,capitale
imprevisti,imprevisto
inalterate,inalterata
cubani,cubano
urbane,urbana
impressionanti,impressionante
limitrofe,limitrofa
operanti,operante
impervi,impervio
esofagee,esofagea
prevenibili,prevenibile
seri,serio
capsule,capsula
etniche,etnica
doganali,doganale
applicabili,applicabile
orari,orario
acrobatici,acrobatico
pensanti,pensante
distribuiti,distribuito
strani,strano
felici,felice
esposte,esposta
murali,murale
cromatiche,cromatica
alte,alta
attive,attiva
estive,estiva
pianeggianti,pianeggiante
genuini,genuino
adulti,adulto
incomprensibili,incomprensibile
aggressivi,aggressivo
pericolosi,pericoloso
fermi,fermo
selezionati,selezionato
finalisti,finalista
vincitrici,vincitrice
soggette,soggetta
estetiche,estetica
negativi,negativo
toscane,toscana
intramontabili,intramontabile
alternativi,alternativo
europei,europeo
attuali,attuale
sicuri,sicuro
gonfiabili,gonfiabile
personalizzati,personalizzato
parallele,parallela
chimiche,chimica
indulgenti,indulgente
indignati,indignato
residenziali,residenziale
fragili,fragile
pericolose,pericolosa
fisiche,fisica
venduti,venduto
indimenticabili,indimenticabile
sensoriali,sensoriale
preinstallate,preinstallata
segmenti,segmento
propensi,propenso
militari,militare
innocenti,innocente
conosciuti,conosciuto
discografiche,discografica
ducati,ducato
disciplinari,disciplinare
potenziate,potenziata
curati,curato
realistici,realistico
fluide,fluida
significative,significativa
secondari,secondario
gravi,grave
titoli,titolo
freschi,fresco
mutevoli,mutevole
passive,passiva
elettromeccaniche,elettromeccanica
informatici,informatico
eccezionali,eccezionale
mete,meta
indicate,indicata
telematici,telematico
pressurizzati,pressurizzato
taggati,taggato
fragole,fragola
intrapresi,intrapreso
vivi,vivo
ingredienti,ingrediente
incantesimi,incantesimo
corrispondenti,corrispondente
biodegradabili,biodegradabile
fiscali,fiscale
biscottate,biscottata
assortiti,assortito
sbloccate,sbloccata
massime,massima
comunitari,comunitario
commenti,commento
numerosi,numeroso
contenti,contento
crocchette,crocchetta
paesaggistiche,paesaggistica
scientifici,scientifico
incredibili,incredibile
sedute,seduta
profilattici,profilattico
interdimensionali,interdimensionale
delicate,delicata
lancette,lancetta
soleggiati,soleggiato
minime,minima
pacifisti,pacifista
ribelli,ribelle
rari,raro
pregiati,pregiato
integrabili,integrabile
allergiche,allergica
allettati,allettato
metallici,metallico
costosi,costoso
infettive,infettiva
postali,postale
idonee,idonea
spagnole,spagnola
cristiane,cristiana
occhiali,occhiale
ceche,ceca
logici,logico
coltivate,coltivata
selvatiche,selvatica
cubici,cubico
provinciali,provinciale
eccellenti,eccellente
miste,mista
ispirate,ispirata
elevate,elevata
insegnanti,insegnante
risolvibili,risolvibile
spaziati,spaziale
unite,unita
sperimentali,sperimentale
notevoli,notevole
studenteschi,studentesco
asciutte,asciutta
bravi,bravo
contestuali,contestuale
italiani,italiano
attuariali,attuariale
rilevate,rilevata
pensionistiche,pensionistica
hotels,hotel
